Sno,Date,Time,State/UnionTerritory,Recovered,Deaths,Confirmed
122,12/3/2020,6:00 PM,Andhra Pradesh,0,0,1
135,13/03/20,6:00 PM,Andhra Pradesh,0,0,1
148,14/03/20,6:00 PM,Andhra Pradesh,0,0,1
149,15/03/20,6:00 PM,Andhra Pradesh,0,0,1
163,16/03/20,6:00 PM,Andhra Pradesh,0,0,1
178,17/03/20,6:00 PM,Andhra Pradesh,0,0,1
193,18/03/20,6:00 PM,Andhra Pradesh,0,0,1
210,19/03/20,6:00 PM,Andhra Pradesh,0,0,2
229,20/03/20,6:00 PM,Andhra Pradesh,0,0,3
249,21/03/20,6:00 PM,Andhra Pradesh,0,0,3
271,22/03/20,6:00 PM,Andhra Pradesh,0,0,5
294,23/03/20,6:00 PM,Andhra Pradesh,0,0,7
317,24/03/20,6:00 PM,Andhra Pradesh,0,0,8
341,25/03/20,6:00 PM,Andhra Pradesh,1,0,9
367,26/03/20,6:00 PM,Andhra Pradesh,1,0,11
394,27/03/20,10:00 AM,Andhra Pradesh,1,0,12
420,28/03/20,6:00 PM,Andhra Pradesh,1,0,14
447,29/03/20,7:30 PM,Andhra Pradesh,1,0,19
474,30/03/20,9:30 PM,Andhra Pradesh,1,0,23
502,31/03/20,8:30 PM,Andhra Pradesh,1,0,40
530,1/4/2020,7:30 PM,Andhra Pradesh,1,0,83
559,2/4/2020,6:00 PM,Andhra Pradesh,1,1,86
588,3/4/2020,6:00 PM,Andhra Pradesh,1,1,132
619,4/4/2020,6:00 PM,Andhra Pradesh,1,1,161
649,5/4/2020,6:00 PM,Andhra Pradesh,1,1,190
679,6/4/2020,6:00 PM,Andhra Pradesh,1,3,226
709,7/4/2020,6:00 PM,Andhra Pradesh,1,3,266
740,8/4/2020,5:00 PM,Andhra Pradesh,5,4,305
771,9/4/2020,5:00 PM,Andhra Pradesh,6,4,348
802,10/4/2020,5:00 PM,Andhra Pradesh,7,6,363
833,11/4/2020,5:00 PM,Andhra Pradesh,11,6,381
864,12/4/2020,5:00 PM,Andhra Pradesh,11,6,381
895,13/04/20,5:00 PM,Andhra Pradesh,11,7,432
927,14/04/20,5:00 PM,Andhra Pradesh,14,9,473
961,15/04/20,5:00 PM,Andhra Pradesh,16,9,503
994,16/04/20,5:00 PM,Andhra Pradesh,20,14,534
1027,17/04/20,5:00 PM,Andhra Pradesh,36,14,572
1060,18/04/20,5:00 PM,Andhra Pradesh,42,15,603
1093,19/04/20,5:00 PM,Andhra Pradesh,42,15,603
1126,20/04/20,5:00 PM,Andhra Pradesh,92,20,722
1159,21/04/20,5:00 PM,Andhra Pradesh,96,22,757
1192,22/04/20,5:00 PM,Andhra Pradesh,120,24,813
1224,23/04/20,5:00 PM,Andhra Pradesh,141,27,895
1256,24/04/20,5:00 PM,Andhra Pradesh,145,29,955
1288,25/04/20,5:00 PM,Andhra Pradesh,171,31,1061
1320,26/04/20,5:00 PM,Andhra Pradesh,231,31,1097
1352,27/04/20,5:00 PM,Andhra Pradesh,235,31,1177
1384,28/04/20,5:00 PM,Andhra Pradesh,258,31,1259
1416,29/04/20,5:00 PM,Andhra Pradesh,287,31,1332
1448,30/04/20,5:00 PM,Andhra Pradesh,321,31,1403
1480,1/5/2020,5:00 PM,Andhra Pradesh,403,33,1463
1512,2/5/2020,5:00 PM,Andhra Pradesh,403,33,1463
1544,3/5/2020,5:00 PM,Andhra Pradesh,488,33,1583
1576,4/5/2020,5:00 PM,Andhra Pradesh,524,36,1650
1608,5/5/2020,5:00 PM,Andhra Pradesh,589,36,1717
1640,6/5/2020,8:00 AM,Andhra Pradesh,589,36,1717
1673,7/5/2020,8:00 AM,Andhra Pradesh,729,36,1777
1706,8/5/2020,8:00 AM,Andhra Pradesh,780,38,1847
1739,9/5/2020,8:00 AM,Andhra Pradesh,842,41,1887
1772,10/5/2020,8:00 AM,Andhra Pradesh,887,44,1930
1805,11/5/2020,8:00 AM,Andhra Pradesh,925,45,1980
1838,12/5/2020,8:00 AM,Andhra Pradesh,975,45,2018
1871,13/05/20,8:00 AM,Andhra Pradesh,1056,46,2090
1904,14/05/20,8:00 AM,Andhra Pradesh,1142,47,2137
1937,15/05/20,8:00 AM,Andhra Pradesh,1192,48,2205
1970,16/05/20,8:00 AM,Andhra Pradesh,1252,48,2307
2003,17/05/20,8:00 AM,Andhra Pradesh,1353,49,2355
2036,18/05/20,8:00 AM,Andhra Pradesh,1456,50,2407
2069,19/05/20,8:00 AM,Andhra Pradesh,1552,50,2474
2102,20/05/20,8:00 AM,Andhra Pradesh,1621,52,2532
2136,21/05/20,8:00 AM,Andhra Pradesh,1640,53,2602
2170,22/05/20,8:00 AM,Andhra Pradesh,1709,53,2647
2204,23/05/20,8:00 AM,Andhra Pradesh,1763,55,2709
2238,24/05/20,8:00 AM,Andhra Pradesh,1809,56,2757
2273,25/05/20,8:00 AM,Andhra Pradesh,1856,56,2823
2308,26/05/20,8:00 AM,Andhra Pradesh,1896,56,3110
2344,27/05/20,8:00 AM,Andhra Pradesh,2009,57,3171
2380,28/05/20,8:00 AM,Andhra Pradesh,2057,58,3171
2416,29/05/20,8:00 AM,Andhra Pradesh,2125,59,3251
2452,30/05/20,8:00 AM,Andhra Pradesh,2226,60,3436
2488,31/05/20,8:00 AM,Andhra Pradesh,2289,60,3569
2524,1/6/2020,8:00 AM,Andhra Pradesh,2349,62,3679
2560,2/6/2020,8:00 AM,Andhra Pradesh,2378,64,3783
2596,3/6/2020,8:00 AM,Andhra Pradesh,2421,64,3898
2632,4/6/2020,8:00 AM,Andhra Pradesh,2466,68,4080
2668,5/6/2020,8:00 AM,Andhra Pradesh,2539,71,4223
2704,6/6/2020,8:00 AM,Andhra Pradesh,2576,73,4303
2740,7/6/2020,8:00 AM,Andhra Pradesh,2620,73,4510
2776,8/6/2020,8:00 AM,Andhra Pradesh,2682,75,4708
2812,9/6/2020,8:00 AM,Andhra Pradesh,2745,75,4851
2848,10/6/2020,8:00 AM,Andhra Pradesh,2802,77,5070
2884,11/6/2020,8:00 AM,Andhra Pradesh,2899,78,5269
2921,12/6/2020,8:00 AM,Andhra Pradesh,3048,80,5429
2957,13/06/20,8:00 AM,Andhra Pradesh,3105,80,5680
2993,14/06/20,8:00 AM,Andhra Pradesh,3195,82,5965
3029,15/06/20,8:00 AM,Andhra Pradesh,3314,84,6163
3065,16/06/20,8:00 AM,Andhra Pradesh,3316,88,6456
3101,17/06/20,8:00 AM,Andhra Pradesh,3509,88,6841
3137,18/06/20,8:00 AM,Andhra Pradesh,3641,90,7071
3173,19/06/20,8:00 AM,Andhra Pradesh,3789,92,7518
3209,20/06/20,8:00 AM,Andhra Pradesh,3917,96,7961
3245,21/06/20,8:00 AM,Andhra Pradesh,4111,101,8452
3281,22/06/20,8:00 AM,Andhra Pradesh,4331,106,8999
3317,23/06/20,8:00 AM,Andhra Pradesh,4495,111,9372
3353,24/06/20,8:00 AM,Andhra Pradesh,4599,119,10002
3389,25/06/20,8:00 AM,Andhra Pradesh,4779,124,10331
3425,26/06/20,8:00 AM,Andhra Pradesh,4988,136,10884
3461,27/06/20,8:00 AM,Andhra Pradesh,5196,148,11489
3497,28/06/20,8:00 AM,Andhra Pradesh,5480,157,12285
3533,29/06/20,8:00 AM,Andhra Pradesh,5908,169,13241
3569,30/06/20,8:00 AM,Andhra Pradesh,6232,180,13891
3605,1/7/2020,8:00 AM,Andhra Pradesh,6511,187,14595
3641,2/7/2020,8:00 AM,Andhra Pradesh,6988,193,15252
